Any,codigo_distr,nombre_distr,codigo_barrio,nombre_barrio,poblacion,domicilios,ocupacion_media_pers_por_dom
2020,1,Ciutat Vella,1,el Raval,48263,17384,2.78
2020,1,Ciutat Vella,2,el Barri Gòtic,21715,6617,3.28
2020,1,Ciutat Vella,3,la Barceloneta,15112,6994,2.16
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",23241,10208,2.28
2020,2,Eixample,5,el Fort Pienc,33369,12839,2.60
2020,2,Eixample,6,la Sagrada Família,52245,21968,2.38
2020,2,Eixample,7,la Dreta de l'Eixample,44325,18516,2.39
2020,2,Eixample,8,l'Antiga Esquerra de l'Eixample,43228,18183,2.38
2020,2,Eixample,9,la Nova Esquerra de l'Eixample,58621,24719,2.37
2020,2,Eixample,10,Sant Antoni,38906,16301,2.39
2020,3,Sants-Montjuïc,11,el Poble Sec,40157,15961,2.52
2020,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1227,492,2.49
2020,3,Sants-Montjuïc,13,la Marina de Port,31352,12035,2.61
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,10377,4269,2.43
2020,3,Sants-Montjuïc,15,Hostafrancs,16203,6696,2.42
2020,3,Sants-Montjuïc,16,la Bordeta,19567,7883,2.48
2020,3,Sants-Montjuïc,17,Sants - Badal,24938,10067,2.48
2020,3,Sants-Montjuïc,18,Sants,43763,17219,2.54
2020,4,Les Corts,19,les Corts,46731,19152,2.44
2020,4,Les Corts,20,la Maternitat i Sant Ramon,23968,9705,2.47
2020,4,Les Corts,21,Pedralbes,11936,4204,2.84
2020,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4710,1613,2.92
2020,5,Sarrià-Sant Gervasi,23,Sarrià,25242,8872,2.85
2020,5,Sarrià-Sant Gervasi,24,les Tres Torres,16617,5602,2.97
2020,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,26245,9488,2.77
2020,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,47915,18823,2.55
2020,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,30428,12415,2.45
2020,6,Gràcia,28,Vallcarca i els Penitents,16147,6604,2.45
2020,6,Gràcia,29,el Coll,7617,3163,2.41
2020,6,Gràcia,30,la Salut,13478,5478,2.46
2020,6,Gràcia,31,la Vila de Gràcia,50926,22875,2.23
2020,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,35483,15019,2.36
2020,7,Horta-Guinardó,33,el Baix Guinardó,26180,10889,2.40
2020,7,Horta-Guinardó,34,Can Baró,9331,3899,2.39
2020,7,Horta-Guinardó,35,el Guinardó,37584,15572,2.41
2020,7,Horta-Guinardó,36,la Font d'en Fargues,9544,3775,2.53
2020,7,Horta-Guinardó,37,el Carmel,32512,12947,2.51
2020,7,Horta-Guinardó,38,la Teixonera,11927,4886,2.44
2020,7,Horta-Guinardó,39,Sant Genís dels Agudells,7538,2993,2.52
2020,7,Horta-Guinardó,40,Montbau,5225,2140,2.44
2020,7,Horta-Guinardó,41,la Vall d'Hebron,5886,2372,2.48
2020,7,Horta-Guinardó,42,la Clota,709,284,2.50
2020,7,Horta-Guinardó,43,Horta,28363,10720,2.65
2020,8,Nou Barris,44,Vilapicina i la Torre Llobeta,26083,10554,2.47
2020,8,Nou Barris,45,Porta,27813,10293,2.70
2020,8,Nou Barris,46,el Turó de la Peira,16269,6355,2.56
2020,8,Nou Barris,47,Can Peguera,2234,930,2.40
2020,8,Nou Barris,48,la Guineueta,15420,6233,2.47
2020,8,Nou Barris,49,Canyelles,6869,2805,2.45
2020,8,Nou Barris,50,les Roquetes,16417,6026,2.72
2020,8,Nou Barris,51,Verdun,12798,5141,2.49
2020,8,Nou Barris,52,la Prosperitat,27003,10830,2.49
2020,8,Nou Barris,53,la Trinitat Nova,7669,2941,2.61
2020,8,Nou Barris,54,Torre Baró,2925,972,3.01
2020,8,Nou Barris,55,Ciutat Meridiana,11091,3744,2.96
2020,8,Nou Barris,56,Vallbona,1421,488,2.91
2020,9,Sant Andreu,57,la Trinitat Vella,10487,3565,2.94
2020,9,Sant Andreu,58,Baró de Viver,2625,995,2.64
2020,9,Sant Andreu,59,el Bon Pastor,13652,4498,3.04
2020,9,Sant Andreu,60,Sant Andreu,58508,23984,2.44
2020,9,Sant Andreu,61,la Sagrera,29521,11878,2.49
2020,9,Sant Andreu,62,el Congrés i els Indians,14726,5990,2.46
2020,9,Sant Andreu,63,Navas,22457,9088,2.47
2020,10,Sant Martí,64,el Camp de l'Arpa del Clot,39262,16520,2.38
2020,10,Sant Martí,65,el Clot,27069,10786,2.51
2020,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,15947,6449,2.47
2020,10,Sant Martí,67,la Vila Olímpica del Poblenou,9385,3545,2.65
2020,10,Sant Martí,68,el Poblenou,34432,13760,2.50
2020,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13526,5368,2.52
2020,10,Sant Martí,70,el Besòs i el Maresme,25501,8365,3.05
2020,10,Sant Martí,71,Provençals del Poblenou,21523,8419,2.56
2020,10,Sant Martí,72,Sant Martí de Provençals,26168,10629,2.46
2020,10,Sant Martí,73,la Verneda i la Pau,28878,11484,2.51
