Codi_Barri,renda_2019
1,11778.52380952381
2,16390.333333333332
3,15094.272727272728
4,17332.076923076922
5,21988.95
6,21533.08823529412
7,30201.655172413793
8,27051.153846153848
9,24607.675
10,21295.625
11,15334.666666666666
12,11988.0
13,15332.529411764706
14,19289.285714285714
15,18579.0
16,18703.923076923078
17,17918.25
18,20532.0
19,28655.428571428572
20,25425.2
21,41666.71428571428
22,30409.666666666668
23,37919.8125
24,44188.90909090909
25,38214.77777777778
26,39419.32258064516
27,29500.842105263157
28,25468.090909090908
29,19587.0
30,24441.0
31,22723.194444444445
32,24012.12
33,20589.052631578947
34,18668.571428571428
35,19672.4
36,24175.571428571428
37,13893.772727272728
38,15303.125
39,16368.6
40,18287.75
41,21226.5
42,17457.0
43,19099.14285714286
44,17959.526315789473
45,15702.666666666666
46,13154.6
47,11609.0
48,17648.727272727272
49,16819.2
50,11673.6
51,12623.125
52,14375.65
53,10941.4
54,10289.0
55,9556.333333333334
56,10844.0
57,11180.4
58,10581.5
59,14390.142857142857
60,19974.410256410258
61,18411.0
62,18420.555555555555
63,18949.30769230769
64,19523.68
65,19270.470588235294
66,20808.222222222223
67,31853.2
68,21094.05
69,24135.285714285714
70,12460.076923076924
71,18016.583333333332
72,17247.833333333332
73,15612.142857142857
