nombre	codigo	habitantes	superficie	densidad	capital
l'Alt Camp 	01	44296	538	82.3	Valls
l'Alt Empordà 	02	141339	1357.54	104.1	Figueres
l'Alt Penedès 	03	108411	592.69	182.9	Vilafranca del Penedès
l'Alt Urgell 	04	20177	1447.46	13.9	la Seu d'Urgell
l'Alta Ribagorça 	05	3802	426.86	8.9	el Pont de Suert
l'Anoia 	06	120738	866.31	139.4	Igualada
l'Aran[* 1] 	39	10093	633.6	15.9	Vielha e Mijaran
el Bages 	07	178885	1092.3	163.8	Manresa
el Baix Camp 	08	190973	697.15	273.9	Reus
el Baix Ebre 	09	77596	1002.67	77.4	Tortosa
el Baix Empordà 	10	134359	701.69	191.5	la Bisbal d'Empordà
el Baix Llobregat 	11	825963	485.99	1699.6	Sant Feliu de Llobregat
el Baix Penedès 	12	104991	296.45	354.2	el Vendrell
el Barcelonès 	13	2278437	145.75	15632.5	Barcelona
el Berguedà 	14	39446	1185.25	33.3	Berga
la Cerdanya (Baixa Cerdanya)[* 2] 	15	18192	546.69	33.3	Puigcerdà
la Conca de Barberà 	16	20042	650.17	30.8	Montblanc
el Garraf 	17	150887	185.11	815.1	Vilanova i la Geltrú
les Garrigues 	18	18880	797.7	23.6	les Borges Blanques
la Garrotxa 	19	57590	734.62	78.4	Olot
el Gironès 	20	193908	575.6	336.9	Girona
el Maresme 	21	452690	398.53	1135.9	Mataró
el Moianès 	42	13603	337.9	40.3	Moià
el Montsià 	22	67436	735.42	91.7	Amposta
la Noguera 	23	38226	1784.07	21.7	Balaguer
Osona 	24	160821	1245.2	129.2	Vic
el Pallars Jussà 	25	13080	1343.09	9.7	Tremp
el Pallars Sobirà 	26	6932	1377.92	5	Sort
el Pla d'Urgell 	27	37035	305.14	120.3	Mollerussa
el Pla de l'Estany 	28	32085	262.78	122.9	Banyoles
el Priorat 	29	9245	498.61	18.5	Falset
la Ribera d'Ebre 	30	21865	827.32	26.4	Móra d'Ebre
el Ripollès 	31	25087	956.62	26.2	Ripoll
la Segarra 	32	22617	722.72	31.9	Cervera
el Segrià 	33	209818	1396.66	150.2	Lleida
la Selva 	34	171617	995.04	172.5	Santa Coloma de Farners
el Solsonès 	35	13649	1001.24	13.5	Solsona
el Tarragonès 	36	256730	319.37	803.9	Tarragona
la Terra Alta 	37	11490	743.04	15.5	Gandesa
l'Urgell 	38	36462	579.66	63.3	Tàrrega
el Vallès Occidental 	40	925237	583.13	1586.7	Sabadell i Terrassa
el Vallès Oriental 	41	408672	735	557.3	Granollers
